"KEY","First_Seen","Last_Seen","Current_Status","Previous_Status","Times_Reopened","Days_Active","Last_Updated"
"192.168.30.1|379223","2026-03-18 14:58:49","2026-03-18 15:15:09","Fixed","Active","0","0","2026-03-18 18:40:23"
"192.168.30.2|110521","2026-03-18 14:58:49","2026-03-18 15:15:09","Fixed","Reopened","1","0","2026-03-18 18:40:23"
"192.168.30.3|110515","2026-03-18 14:58:49","2026-03-18 15:15:09","Fixed","Active","0","0","2026-03-18 18:40:23"
"192.168.30.4|110495","2026-03-18 14:58:49","2026-03-18 15:15:09","Fixed","Active","0","0","2026-03-18 18:40:23"
"192.168.4.86|110521","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|106307","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92342","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92332","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92312","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92295","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92287","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92281","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|386767","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|386534","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|385740","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|385734","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|385732","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|384648","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|382615","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|378941","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|378755","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|378332","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92364","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92361","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92360","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92359","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92358","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92357","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92350","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92347","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92336","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92317","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92305","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|92272","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|386261","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|386168","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|384646","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|378985","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|377739","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|374532","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|373992","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|372448","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|372278","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|372258","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|370697","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|90044","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|90043","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|386157","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|385735","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|374641","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|105170","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|90007","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|379210","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|105228","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.4.86|383093","2026-03-18 18:40:23","2026-03-18 18:40:23","Fixed","Active","0","0","2026-03-18 18:43:45"
"192.168.0.243|379223","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110521","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110515","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110495","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110470","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110468","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110467","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110458","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110457","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110428","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110398","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110290","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110284","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110278","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110273","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110272","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110271","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110263","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110262","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110258","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|106305","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92341","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92329","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92311","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92297","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92287","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92282","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92275","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92211","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92204","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92189","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92178","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92165","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92161","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92160","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92149","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92131","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92128","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|92111","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|386516","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|378487","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|378332","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110517","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110512","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110510","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110508","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110505","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110503","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110500","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110499","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110497","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110494","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110492","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110490","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110489","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110486","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110483","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110480","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110479","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110476","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110473","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110465","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110451","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110447","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110446","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110445","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110443","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110442","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110441","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110438","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110437","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
"192.168.0.243|110435","2026-03-18 18:43:45","2026-03-18 18:43:45","Fixed","Active","0","0","2026-03-18 18:54:00"
